id,created_at,full_text,media,screen_name,name,profile_image_url,user_id,in_reply_to,retweeted_status,quoted_status,media_tags,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1684651698067816448","2023-07-28 02:47:18 +07:00","In case of censorship. Follow my telegram channel:\n\nhttps://t.co/fsRHzzJybi \n\nI also recommend following this newsletter for groundbreaking news and updates:\n\nhttps://t.co/emomHwTWyY","[]","ShadowofEzra","Shadow of Ezra","https://pbs.twimg.com/profile_images/1608460256752926720/ouO0x9-k_normal.jpg","1608459779239706627","null","null","null","[]",7529,2181,980,71,1019,10470474,false,false,false,"https://twitter.com/ShadowofEzra/status/1684651698067816448"
"1989783953075835011","2025-11-16 02:53:57 +07:00","RT @CatholicArena: The Catholic Bishops of the United States of America have officially banned transgender surgeries at Catholic hospitals…","[{""type"":""photo"",""url"":""https://t.co/HXpb9ZV0vp"",""thumbnail"":""https://pbs.twimg.com/media/G5swOkSWIAA-YzI?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/G5swOkSWIAA-YzI?format=jpg&name=orig""}]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","1989236798887981076","null","[]",0,1552,0,0,0,"null",false,false,false,"https://twitter.com/poperespecter1/status/1989783953075835011"
"1989837320728760715","2025-11-16 06:26:01 +07:00","RT @poperespecter1: Breaking : In major pivot, Vatican signals that approval for the Traditional Latin Mass (TLM) will be granted upon requ…","[]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","1989707504083743214","null","[]",0,69,0,0,0,"null",false,false,false,"https://twitter.com/poperespecter1/status/1989837320728760715"
"1989838219811459486","2025-11-16 06:29:35 +07:00","Every time I post on Catholicism being the true church, I get Anglicans and Lutherans in my comments arguing for their churches. 😂 https://t.co/NA254spctG","[{""type"":""photo"",""url"":""https://t.co/NA254spctG"",""thumbnail"":""https://pbs.twimg.com/media/G51TUJ6WgAA92Yz?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/G51TUJ6WgAA92Yz?format=jpg&name=orig""}]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","null","null","[]",532,21,13,0,61,10693,false,false,false,"https://twitter.com/poperespecter1/status/1989838219811459486"
"1989841574155751599","2025-11-16 06:42:55 +07:00","RT @FrMatthewLC: American Catholic Bishops on\n\nsterilizing and castrating kids: new document published this week condemning this practice &amp;…","[]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","1989825694520807932","null","[]",0,16,0,0,0,"null",false,false,false,"https://twitter.com/poperespecter1/status/1989841574155751599"
"1989855340050198759","2025-11-16 07:37:37 +07:00","Need to replace the Statue of Liberty with this. https://t.co/Gd5MFRbAuJ","[{""type"":""video"",""url"":""https://t.co/Gd5MFRbAuJ"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/1989855272920059904/img/9wScKXxhUw0SlJsV.jpg?name=thumb"",""original"":""https://video.twimg.com/amplify_video/1989855272920059904/vid/avc1/720x1280/3nAxXLF3LNBqmrMK.mp4?tag=21""}]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","null","null","[]",1949,142,33,7,120,27495,false,false,false,"https://twitter.com/poperespecter1/status/1989855340050198759"
"1989865967405396352","2025-11-16 08:19:51 +07:00","RT @FrMatthewLC: A great post on the importance of bringing kids to Mass every week, even though we know they act imperfectly. There is gre…","[]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","1989736906901315602","null","[]",0,6,0,0,0,"null",false,false,false,"https://twitter.com/poperespecter1/status/1989865967405396352"
"1989866313108316210","2025-11-16 08:21:13 +07:00","RT @Sachinettiyil: 70 students became Catholic today at Texas A&amp;M\n\nImage: St Mary’s Center https://t.co/qyiexkkqMx","[{""type"":""photo"",""url"":""https://t.co/qyiexkkqMx"",""thumbnail"":""https://pbs.twimg.com/media/G5xA9N9XwAApx8p?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/G5xA9N9XwAApx8p?format=jpg&name=orig""}]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","1989536560740528632","null","[]",0,334,0,0,0,"null",false,false,false,"https://twitter.com/poperespecter1/status/1989866313108316210"
"1989866726813548788","2025-11-16 08:22:52 +07:00","RT @poperespecter1: Every time I post on Catholicism being the true church, I get Anglicans and Lutherans in my comments arguing for their…","[{""type"":""photo"",""url"":""https://t.co/NA254spctG"",""thumbnail"":""https://pbs.twimg.com/media/G51TUJ6WgAA92Yz?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/G51TUJ6WgAA92Yz?format=jpg&name=orig""}]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","1989838219811459486","null","[]",0,21,0,0,0,"null",false,false,false,"https://twitter.com/poperespecter1/status/1989866726813548788"
"1989866766915236280","2025-11-16 08:23:01 +07:00","RT @poperespecter1: I love my Eastern Orthodox brothers but the idea that the Orthodox Church is somehow immune to LGBT ideology is just a…","[{""type"":""photo"",""url"":""https://t.co/BADGPezo67"",""thumbnail"":""https://pbs.twimg.com/media/G50Q1wdWsAACJxG?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/G50Q1wdWsAACJxG?format=jpg&name=orig""}]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","1989765568275304566","null","[]",0,43,0,0,0,"null",false,false,false,"https://twitter.com/poperespecter1/status/1989866766915236280"
